dimention,mpageid,Y-Image Dimentions,X-Image Dimentions
"(200, 123)",M8107641.jpg,123,200
"(200, 200)",M81209322.jpg,200,200
"(200, 120)",M8125423.jpg,120,200
"(200, 150)",M81266629.jpg,150,200
"(200, 150)",M81266630.jpg,150,200
"(199, 133)",M8133970.jpg,133,199
"(200, 374)",M81353354.jpg,374,200
"(200, 267)",M81422035.jpg,267,200
"(200, 152)",M81480632.jpg,152,200
"(200, 150)",M81531107.jpg,150,200
"(200, 267)",M81535931.jpg,267,200
"(200, 112)",M81549815.jpg,112,200
"(200, 133)",M81550555.jpg,133,200
"(200, 200)",M81558285.png,200,200
"(200, 300)",M81563831.jpg,300,200
"(200, 150)",M81624189.jpg,150,200
"(200, 133)",M81684561.jpg,133,200
"(200, 150)",M81757400.jpg,150,200
"(200, 150)",M81808776.jpg,150,200
"(200, 262)",M81929483.jpg,262,200
"(200, 321)",M819372.jpg,321,200
"(200, 257)",M81950497.png,257,200
"(200, 125)",M81991607.jpg,125,200
"(200, 925)",M82000512.jpg,925,200
"(200, 441)",M82128568.jpg,441,200
"(200, 267)",M82497179.jpg,267,200
"(200, 112)",M82543605.png,112,200
"(200, 143)",M82562063.jpg,143,200
"(200, 150)",M82789257.jpg,150,200
"(200, 133)",M82869587.jpg,133,200
"(200, 111)",M82984201.jpg,111,200
"(200, 200)",M83008422.jpg,200,200
"(200, 200)",M83008439.jpg,200,200
"(200, 200)",M83008450.jpg,200,200
"(200, 267)",M83008509.jpg,267,200
"(200, 150)",M83008667.jpg,150,200
"(200, 201)",M83008719.jpg,201,200
"(200, 200)",M83008729.jpg,200,200
"(200, 150)",M83008776.jpg,150,200
"(200, 112)",M83032851.jpg,112,200
"(200, 133)",M83046555.jpg,133,200
"(200, 200)",M83104664.png,200,200
"(200, 141)",M83370277.jpg,141,200
"(200, 200)",M83446144.jpg,200,200
"(200, 262)",M83534237.png,262,200
"(200, 186)",M83669878.png,186,200
"(200, 133)",M83791796.jpg,133,200
"(200, 150)",M83848626.jpg,150,200
"(200, 113)",M83927615.jpg,113,200
"(200, 133)",M84012384.jpg,133,200
"(200, 133)",M84029467.jpg,133,200
"(200, 133)",M84176956.jpg,133,200
"(200, 150)",M84333385.jpg,150,200
"(200, 133)",M84370016.jpg,133,200
"(200, 143)",M84603249.jpg,143,200
"(200, 267)",M84789010.jpg,267,200
"(200, 267)",M84833769.jpg,267,200
"(200, 267)",M84842889.jpg,267,200
"(200, 140)",M84863196.jpg,140,200
"(200, 133)",M84863311.jpg,133,200
"(200, 133)",M84863316.jpg,133,200
"(200, 274)",M84870086.jpg,274,200
"(200, 133)",M84889256.png,133,200
"(200, 300)",M84919426.jpg,300,200
"(200, 103)",M85073057.jpg,103,200
"(200, 150)",M85148817.jpg,150,200
"(200, 133)",M85511781.jpg,133,200
"(200, 147)",M85572589.jpg,147,200
"(200, 119)",M85752760.jpg,119,200
"(200, 133)",M85868146.jpg,133,200
"(200, 200)",M85943674.png,200,200
"(200, 294)",M86060725.jpg,294,200
"(200, 133)",M86316076.jpg,133,200
"(200, 267)",M86403950.jpg,267,200
"(200, 150)",M86464433.jpg,150,200
"(200, 150)",M86589883.jpg,150,200
"(200, 150)",M86622007.jpg,150,200
"(200, 356)",M86720997.jpg,356,200
"(200, 134)",M86764275.jpg,134,200
"(200, 341)",M86819218.jpg,341,200
"(200, 133)",M86900309.jpg,133,200
"(200, 301)",M86900410.jpg,301,200
"(200, 329)",M86905371.jpg,329,200
"(200, 267)",M87000974.jpg,267,200
"(200, 159)",M87074244.jpg,159,200
"(200, 133)",M87196460.jpg,133,200
"(200, 118)",M8731537.JPG,118,200
"(200, 267)",M87375831.jpg,267,200
"(200, 112)",M87391619.jpg,112,200
"(200, 267)",M87455879.jpg,267,200
"(200, 300)",M87473700.jpg,300,200
"(200, 132)",M87501307.jpg,132,200
"(200, 133)",M87549198.jpg,133,200
"(200, 133)",M87549199.jpg,133,200
"(200, 154)",M87588707.jpg,154,200
"(200, 150)",M87606683.jpg,150,200
"(200, 150)",M87670648.jpg,150,200
"(200, 150)",M87676537.jpg,150,200
"(200, 150)",M87698346.jpg,150,200
"(200, 150)",M87698349.jpg,150,200
"(200, 150)",M87698359.jpg,150,200
"(200, 144)",M87758259.jpeg,144,200
"(200, 100)",M87776099.jpg,100,200
"(200, 139)",M87820101.jpg,139,200
"(200, 267)",M87830286.jpg,267,200
"(200, 283)",M87837740.jpg,283,200
"(200, 84)",M87840061.jpg,84,200
"(200, 133)",M87867566.jpg,133,200
"(200, 150)",M87950857.jpg,150,200
"(200, 267)",M87968565.jpg,267,200
"(200, 267)",M87969331.jpg,267,200
"(200, 356)",M88051810.jpg,356,200
"(200, 356)",M88067060.jpg,356,200
"(200, 150)",M88070326.jpg,150,200
"(200, 200)",M88080495.jpg,200,200
"(200, 267)",M88129303.jpg,267,200
"(200, 302)",M88143208.png,302,200
"(200, 112)",M88191007.png,112,200
"(200, 130)",M88211017.jpg,130,200
"(200, 168)",M88211842.jpg,168,200
"(200, 148)",M88232231.jpg,148,200
"(200, 267)",M88256541.jpg,267,200
"(200, 112)",M88418525.jpg,112,200
"(200, 146)",M88426243.jpg,146,200
"(200, 150)",M88458746.jpg,150,200
"(200, 123)",M88474616.jpg,123,200
"(200, 256)",M88474635.jpg,256,200
"(200, 133)",M88650959.jpg,133,200
"(200, 144)",M88679382.jpg,144,200
"(200, 150)",M88738861.jpg,150,200
"(200, 133)",M88751318.jpg,133,200
"(200, 133)",M88754208.jpg,133,200
"(200, 172)",M88806406.jpg,172,200
"(200, 267)",M88842740.jpg,267,200
"(200, 150)",M88849372.jpg,150,200
"(200, 112)",M88896113.jpg,112,200
