object name,mpageid,has on the left,has on the right,has on the top,has on the bottom,has in the center
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M10705101,,,,,http://www.wikidata.org/entity/Q146
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10714016,,,,,http://www.wikidata.org/entity/Q5113
sheep,http://commons.wikimedia.org/wiki/Special:EntityData/M10727217,,,,,http://www.wikidata.org/entity/Q7368
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M10732709,,,,,http://www.wikidata.org/entity/Q5113
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M10733874,,,,,http://www.wikidata.org/entity/Q146
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M10766869,,,,,http://www.wikidata.org/entity/Q146
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10791439,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10791439,http://www.wikidata.org/entity/Q5,,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10791439,,,http://www.wikidata.org/entity/Q5,,
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M10791439,,,,,http://www.wikidata.org/entity/Q35872
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M1079145,,,,,http://www.wikidata.org/entity/Q40847
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M1079145,,,http://www.wikidata.org/entity/Q40847,,
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M1079187,,,,,http://www.wikidata.org/entity/Q11442
motorcycle,http://commons.wikimedia.org/wiki/Special:EntityData/M10799170,,,,,http://www.wikidata.org/entity/Q34493
cake,http://commons.wikimedia.org/wiki/Special:EntityData/M10800122,,,,,http://www.wikidata.org/entity/Q13276
spoon,http://commons.wikimedia.org/wiki/Special:EntityData/M10800122,,http://www.wikidata.org/entity/Q81895,,,
dining,http://commons.wikimedia.org/wiki/Special:EntityData/M10800122,,,,,http://www.wikidata.org/entity/Q10578291
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10815461,,,,,http://www.wikidata.org/entity/Q870
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10833130,,http://www.wikidata.org/entity/Q870,,,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10833332,,,,,http://www.wikidata.org/entity/Q870
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1086035,,,,,http://www.wikidata.org/entity/Q32789
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1086035,,http://www.wikidata.org/entity/Q32789,,,
zebra,http://commons.wikimedia.org/wiki/Special:EntityData/M1086147,,,,,http://www.wikidata.org/entity/Q32789
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M10865348,,,,,http://www.wikidata.org/entity/Q146
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M10865348,,,,,http://www.wikidata.org/entity/Q146
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10879294,,,,,http://www.wikidata.org/entity/Q870
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10881800,,,,http://www.wikidata.org/entity/Q5,
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M10907288,,,,,http://www.wikidata.org/entity/Q144
sandwich,http://commons.wikimedia.org/wiki/Special:EntityData/M10909601,,http://www.wikidata.org/entity/Q28803,,,
cup,http://commons.wikimedia.org/wiki/Special:EntityData/M10909601,,,http://www.wikidata.org/entity/Q81727,,
cup,http://commons.wikimedia.org/wiki/Special:EntityData/M10909601,,,,http://www.wikidata.org/entity/Q81727,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M10910818,,,,,http://www.wikidata.org/entity/Q870
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10910818,,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10910818,,http://www.wikidata.org/entity/Q5,,,
clock,http://commons.wikimedia.org/wiki/Special:EntityData/M1091976,,,,,http://www.wikidata.org/entity/Q376
car,http://commons.wikimedia.org/wiki/Special:EntityData/M10971623,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M10971623,,,,,http://www.wikidata.org/entity/Q43193
person,http://commons.wikimedia.org/wiki/Special:EntityData/M10971623,http://www.wikidata.org/entity/Q5,,,http://www.wikidata.org/entity/Q5,
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11010144,,,,,http://www.wikidata.org/entity/Q144
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11017728,,http://www.wikidata.org/entity/Q870,,,
cat,http://commons.wikimedia.org/wiki/Special:EntityData/M1102599,,,,,http://www.wikidata.org/entity/Q146
bird,http://commons.wikimedia.org/wiki/Special:EntityData/M11065634,,,,,http://www.wikidata.org/entity/Q5113
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11074017,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11074017,,http://www.wikidata.org/entity/Q5,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11074017,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,,
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11074017,,,,,http://www.wikidata.org/entity/Q144
spoon,http://commons.wikimedia.org/wiki/Special:EntityData/M11081458,,,,http://www.wikidata.org/entity/Q81895,
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M11083432,,,,,http://www.wikidata.org/entity/Q40847
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11113633,,http://www.wikidata.org/entity/Q870,,,
remote,http://commons.wikimedia.org/wiki/Special:EntityData/M11127814,,http://www.wikidata.org/entity/Q185091,,http://www.wikidata.org/entity/Q185091,
couch,http://commons.wikimedia.org/wiki/Special:EntityData/M11127814,,http://www.wikidata.org/entity/Q131514,,,
cell,http://commons.wikimedia.org/wiki/Special:EntityData/M11127822,,,,,http://www.wikidata.org/entity/Q17517
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11192744,,,,,http://www.wikidata.org/entity/Q870
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11228410,,,,,http://www.wikidata.org/entity/Q870
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,http://www.wikidata.org/entity/Q80228,,,,
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,,,,,http://www.wikidata.org/entity/Q80228
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,,,,,http://www.wikidata.org/entity/Q80228
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,,,,,
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,,http://www.wikidata.org/entity/Q80228,,,
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,,,,,http://www.wikidata.org/entity/Q80228
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,,http://www.wikidata.org/entity/Q80228,,,
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,,http://www.wikidata.org/entity/Q80228,,,
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,http://www.wikidata.org/entity/Q80228,,,,
bottle,http://commons.wikimedia.org/wiki/Special:EntityData/M11237039,http://www.wikidata.org/entity/Q80228,,,,
bus,http://commons.wikimedia.org/wiki/Special:EntityData/M11265318,,,,,http://www.wikidata.org/entity/Q5638
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265594,,http://www.wikidata.org/entity/Q5,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265594,,,http://www.wikidata.org/entity/Q5,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265598,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265598,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265598,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265598,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265598,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265598,,,,,http://www.wikidata.org/entity/Q5
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11265598,,,,,http://www.wikidata.org/entity/Q5
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11274165,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11280951,,,,,http://www.wikidata.org/entity/Q144
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11280951,,http://www.wikidata.org/entity/Q144,,,
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11280951,,http://www.wikidata.org/entity/Q144,,,
dog,http://commons.wikimedia.org/wiki/Special:EntityData/M11280951,,http://www.wikidata.org/entity/Q144,,,
backpack,http://commons.wikimedia.org/wiki/Special:EntityData/M11280951,,http://www.wikidata.org/entity/Q5843,,,
horse,http://commons.wikimedia.org/wiki/Special:EntityData/M11283718,,,,,http://www.wikidata.org/entity/Q726
boat,http://commons.wikimedia.org/wiki/Special:EntityData/M11287649,,,,,http://www.wikidata.org/entity/Q35872
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11290678,,,,,http://www.wikidata.org/entity/Q870
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11290678,http://www.wikidata.org/entity/Q1420,,,,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11290689,,,,,http://www.wikidata.org/entity/Q870
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11290689,http://www.wikidata.org/entity/Q1420,,,,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11291594,,,,,http://www.wikidata.org/entity/Q870
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M11294253,,,,,http://www.wikidata.org/entity/Q40847
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M11311025,http://www.wikidata.org/entity/Q11442,,,,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11326279,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M11326279,http://www.wikidata.org/entity/Q43193,,,http://www.wikidata.org/entity/Q43193,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11326279,,,,http://www.wikidata.org/entity/Q1420,
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M11326635,,,,,http://www.wikidata.org/entity/Q11442
bicycle,http://commons.wikimedia.org/wiki/Special:EntityData/M11329024,,,,,http://www.wikidata.org/entity/Q11442
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11337899,,,,,http://www.wikidata.org/entity/Q870
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11337899,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11337899,,http://www.wikidata.org/entity/Q5,,http://www.wikidata.org/entity/Q5,
train,http://commons.wikimedia.org/wiki/Special:EntityData/M11337930,,,,,http://www.wikidata.org/entity/Q870
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11337930,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11337930,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11337930,,http://www.wikidata.org/entity/Q5,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11337930,,http://www.wikidata.org/entity/Q5,,,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11345157,,http://www.wikidata.org/entity/Q1420,,,
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M11345157,,,,,http://www.wikidata.org/entity/Q43193
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11345157,,http://www.wikidata.org/entity/Q1420,,,
person,http://commons.wikimedia.org/wiki/Special:EntityData/M11345170,http://www.wikidata.org/entity/Q5,,,http://www.wikidata.org/entity/Q5,
truck,http://commons.wikimedia.org/wiki/Special:EntityData/M11345170,,,,,
car,http://commons.wikimedia.org/wiki/Special:EntityData/M11345170,,http://www.wikidata.org/entity/Q1420,,http://www.wikidata.org/entity/Q1420,
scissors,http://commons.wikimedia.org/wiki/Special:EntityData/M11356853,,,,,http://www.wikidata.org/entity/Q40847
cell,http://commons.wikimedia.org/wiki/Special:EntityData/M11366054,,,,,http://www.wikidata.org/entity/Q17517
tv,http://commons.wikimedia.org/wiki/Special:EntityData/M11378433,,,,,http://www.wikidata.org/entity/Q289
